"id";"nome";"porQueAprender";"resumoTopicos";"salarioJunior";"salarioPleno";"salarioSenior";"infoMercado"
"projeto-barbearia-esp";"Projeto Barbearia";"Desenvolva uma aplicação completa para agendamento em barbearias, unindo front-end, back-end e banco de dados.";"Calendário e agendamentos | Integração React/Next | Persistência com DB | Autenticação e interface UI/UX";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Aplicações de agendamento são muito demandadas em diversos setores de serviços."
"gamer-store-iniciante";"Gamer Store - Iniciante";"Inicie um e-commerce de jogos, integrando front-end, back-end e banco de dados para catálogo e carrinho.";"Catálogo de produtos | Carrinho de compras | APIs e DB | Conceitos básicos de e-commerce";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Comércio eletrônico é um dos setores que mais crescem, demandando devs continuamente."
"gamer-store-mercado";"Gamer Store - Intermediário";"Aprofunde o e-commerce de jogos, adicionando funcionalidades avançadas e integração mobile.";"Sistema de login | Métodos de pagamento | Integrações front, back e mobile | Organização de banco de dados";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"E-commerce integrado a mobile é tendência, aumentando a empregabilidade do dev full stack."
"projeto-convit3-digital";"Projeto Convit3 Digital";"Crie uma aplicação de convites digitais, explorando Next, React e integrações com banco de dados.";"Geração de convites online | Personalização de layout | Banco de dados para persistência | Deploy e compartilhamento";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Serviços de convites online crescendo em eventos corporativos e pessoais, nicho promissor."
"aula-inaugural-julho-2024";"Aula Inaugural - Turma Julho de 2024";"Saiba tudo sobre a Formação.DEV, planos de estudo e apresentação da equipe. Perfeito para ambientar novos alunos.";"Visão geral do programa | Uso da plataforma | Metodologia de ensino | Dicas de organização";"N/A";"N/A";"N/A";"Live de boas-vindas, sem faixa salarial específica, mas essencial para começar a jornada."
"aula-inaugural-outubro-2024";"Aula Inaugural - Outubro 2024";"Apresentação dos cursos, trilhas e orientações para o novo grupo de alunos iniciantes em outubro de 2024.";"Estrutura da Formação | Plano de estudos | Ferramentas de suporte | Networking inicial";"N/A";"N/A";"N/A";"Evento de integração inicial, sem dados de mercado pois não é um curso técnico."
"aula-inaugural-novembro-2024";"Aula Inaugural";"Bem-vindos à turma de novembro de 2024, overview das trilhas e funcionalidades da plataforma.";"Dinâmica da Formação | Boas práticas de estudos | Metas e prazos | Suporte e comunidade";"N/A";"N/A";"N/A";"Live institucional focada em orientação, sem conteúdo técnico específico."
"aula-inaugural-turma-3";"Aula Inaugural";"Introdução à Formação.DEV, estrutura das trilhas, suporte e dicas para melhor aproveitamento do curso.";"Plataforma e recursos | Calendário e trilhas | Interação com tutores | Ferramentas utilizadas";"N/A";"N/A";"N/A";"Momento de onboarding, sem conteúdo de mercado pois não é curso técnico."
"boas-vindas-2023-maio";"Boas Vindas";"Recepção oficial, apresentação da equipe e overview da Formação.DEV para a turma de maio/2023.";"Organização das trilhas | Metodologia de ensino | Recursos disponíveis | Comunidade de suporte";"N/A";"N/A";"N/A";"Live inicial de integração, não inclui conteúdo técnico ou salarial."
"boas-vindas-turma-2";"Aula Inaugural";"Mais uma recepção a nova turma, com reforço de objetivos e estratégia de aprendizagem ao longo do curso.";"Visão geral dos conteúdos | Cronograma de aulas | Ferramentas de acompanhamento | Foco em resultados";"N/A";"N/A";"N/A";"Sessão de introdução, não aplicável a mercado."
"aula-Inaugural-turma-4";"Aula Inaugural Turma 04";"Boas-vindas, explicando como aproveitar trilhas, mentorias e suporte para o melhor aprendizado possível.";"Interface do aluno | Atividades e projetos | Mentorias ao vivo | Comunidade ativa";"N/A";"N/A";"N/A";"Live de recepção, sem dados mercadológicos."
"estudos-e-produtividade";"Estudos e Produtividade";"Dicas de organização, foco e técnicas para maximizar aprendizado dentro da Formação.DEV.";"Gerenciamento de tempo | Técnicas de estudo | Soft skills de produtividade | Metas realistas";"N/A";"N/A";"N/A";"Conteúdo de aprimoramento pessoal, não envolve vagas ou salários."
"mover";"curso mover";"Mentoria ou live que aborda algum conteúdo de apoio à formação. Tópicos adicionais de estudo e prática.";"Dicas de prática | Conteúdo extra | Esclarecimento de dúvidas | Revisão de conceitos";"N/A";"N/A";"N/A";"Live de suporte geral, sem faixa salarial específica."
"novidades-2024";"Novidades 2024";"Live sobre as atualizações de conteúdo, novas funcionalidades na plataforma, futuro da Formação.DEV.";"Atualização de trilhas | Novos cursos | Ferramentas de suporte | Planejamento anual";"N/A";"N/A";"N/A";"Live informativa, sem conteúdo de mercado."
"tranformando-idieas-em-aplicacoes";"Transformando Ideias em Aplicações";"Aprenda estratégias para tirar projetos do papel, do conceito à implementação prática.";"Validação de ideias | Roadmap de MVP | Principais tecnologias | Organização do projeto";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 8.000";"R$ 9.000 - R$ 13.000";"Mercado valoriza devs que entendem todo ciclo, da ideação ao deploy, especialmente em startups."
"mentoria-iniciantes-+-primeiro-projeto";"Mentoria Iniciantes + Primeiro Projeto";"Orientação para quem está começando, cobrindo dúvidas iniciais e suporte para o primeiro projeto prático.";"Esclarecimento de dúvidas | Primeiros passos do projeto | Ferramentas básicas | Boas práticas iniciais";"N/A";"N/A";"N/A";"Live focada em iniciantes, sem conteúdo mercadológico direto."
"projeto-em-equipes";"Projeto em Equipes";"Aprenda a trabalhar em equipe, desde planejamento até versionamento colaborativo. Essencial para grandes projetos.";"Division of tasks | Git flow em grupo | Integração contínua | Comunicação efetiva";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Mercado valoriza soft skill de colaboração e experiência com equipes grandes."
"carreira-internacional";"Carreira Internacional";"Conheça dicas e estratégias para buscar vagas no exterior, networking global e aprimoramento de idioma.";"Preparação de portfolio | Contato com empresas fora | Vistos e relocation | Diferenças culturais";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"Grandes chances de salários mais altos e oportunidades em empresas internacionais."
"projeto-em-equipes-11-24";"Projeto em Equipes - Novembro 2024";"Mentoria para prática de projeto colaborativo, realizado em equipe, com ênfase em metas e resultados.";"Formação de squads | Planejamento ágil | Demos e retrospectivas | Ferramentas de integração";"N/A";"N/A";"N/A";"Live/módulo prático de colaboração, sem dados de mercado por não ser um curso individual."
"poo";"Programação Orientada a Objetos";"Entenda o paradigma OOP, essenciais para modelar aplicações robustas e escaláveis.";"Classes e objetos | Encapsulamento e Herança | Polimorfismo | Relação com Arquitetura";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"OOP ainda é usado amplamente em grandes projetos, essencial para vários frameworks e linguagens."
"mentoria-visao-feral-app-fullstack";"Visão Geral de uma Aplicação Full Stack";"Entenda como front-end, back-end e banco de dados se integram num projeto completo.";"Fluxo de dados | Arquitetura multicamadas | APIs e DB | Boas práticas de integração";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Full stack devs são muito requisitados, tendo visão global do sistema."
"introducao-aos-paradigmas-de-programacao";"Introdução aos Paradigmas de Programação";"Conheça paradigmas como imperativo, funcional e orientado a objetos, expandindo sua forma de pensar código.";"Conceitos de paradigmas | Exemplos em diversas linguagens | Quando usar cada abordagem | Evolução histórica";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Dominando paradigmas, o dev se adapta melhor a qualquer linguagem e framework."
"nextjs";"Live Next.js";"Série de lives aprofundando fundamentos do Next.js, do SSR à comunicação entre componentes.";"Configuração de projeto | Rotas dinâmicas | Hooks no Next.js | Integração com APIs";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Next.js é referência no mercado para apps React rápidos e otimizados."
"live-jogo-velha";"Jogo da Velha";"Aplicação completa usando Next.js e lógica de negócios orientada a objetos, exemplificando arquitetura limpa.";"Modelagem da regra de negócio | Front-end com Next | Integração OOP e React | Testes de funcionalidade";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Exercita conceitos avançados de arquitetura e front-end, diferencial para vagas seniores."
"live-prisma-e-banco-de-dados";"Prisma e Bancos de Dados";"Explore o ORM Prisma, simplificando acesso a dados em Node.js, com migrações automáticas e tipagem forte.";"Configuração do Prisma | Modelagem de esquemas | Migrações | Integração com bancos SQL";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"ORMs modernos ganham espaço, Prisma se destaca pela facilidade e segurança de tipos."
"primeira-aplicacao-fullstack-mentoria";"Primeira Aplicação Fullstack";"Orienta o passo a passo de construir um app do front ao back, incluindo persistência de dados e deploy.";"Estrutura de projeto | Configuração de backend | Front-end básico | Deploy inicial";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Ideal para iniciantes, mostrando todo o fluxo e aumentando a confiança técnica."
"react-angular-vue-mentoria";"React vs Angular vs Vue";"Comparação das principais tecnologias front-end do mercado, entendendo prós e contras de cada.";"Arquitetura e ecossistema | Performance | Curva de aprendizado | Casos de uso comuns";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Saber diferenças ajuda na escolha do stack certo, valorizado por equipes."
"live-projeto-urna-eletronica";"Projeto Urna Eletrônica";"Desenvolva uma simulação de urna eletrônica web, abrangendo regras de negócio e UI com Next.js.";"Modelagem de votos | Lógica de contagem | Front-end reativo | Conceitos de UX/UI";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 8.000";"R$ 9.000 - R$ 13.000";"Demonstra modelagem complexa e atenção a detalhes, bom exercício para portfólio."
"live-modelagem-de-dominio";"Modelos Anêmicos vs Modelos Ricos";"Aprenda a diferença entre modelos anêmicos e ricos, estruturando melhor o domínio de software.";"Domain-Driven Design | Entidades e validações | Delegação de regras de negócio | Arquitetura limpa";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"DDD é altamente valorizado em sistemas complexos, melhorando manutenibilidade."
"live-casos-de-uso";"Casos de Uso";"Veja como orquestrar regras de negócio em uma camada de aplicação clara, sem poluir o domínio com lógica extra.";"Aplicação x domínio | Entrada e saída de dados | Boundaries e DTOs | Testes de casos de uso";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Empresas grandes exigem clareza na separação de responsabilidades, DDD e casos de uso."
"live-app-limpa";"Aplicação Limpa";"Exemplos práticos de uma aplicação seguindo Clean Architecture, separando regras de negócio e infraestrutura.";"Camadas de domínio | Casos de uso | Adapters e ports | Testes de integração";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Clean Architecture é tendência para projetos de médio/grande porte, gerando código sustentável."
"mentoria-ead-limpo";"EAD Limpo";"Implementação de uma plataforma EAD com arquitetura limpa, exemplificando design orientado ao domínio.";"Entidades de cursos e aulas | Regras de negócio limpas | Interação com DB | Integrações e testes";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Projetos educacionais em alta, e arquitetura limpa facilita evolução contínua."
"mentoria-aws";"AWS";"Entenda serviços básicos da AWS, como EC2, S3 e RDS, para hospedar aplicações e armazenar dados.";"Criar servidores EC2 | Configurar S3 | Gerenciamento de BD RDS | Conceitos de segurança e IAM";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"AWS é líder em nuvem pública, conhecimento de seus serviços é requisitado globalmente."
"terraform-mentoria";"Terraform";"Automatize infraestrutura como código, gerenciando ambientes AWS, Azure ou GCP de forma declarativa.";"Instalação e uso do Terraform | Definição de recursos em .tf | Estado e versionamento | Deploy contínuo";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"IaC é extremamente valorizado, agilizando e padronizando infraestrutura em grandes empresas."
"clube-livro-arq-limpa";"Arquitetura Limpa";"Discussão sobre o livro de Robert C. Martin, que aborda princípios para criar sistemas robustos e escaláveis.";"Camadas de arquitetura | DIP e SOLID | Separação de políticas e detalhes | Exemplos de implementação";"N/A";"N/A";"N/A";"Clube do livro focado em teoria de software, não possui dados de mercado ou salários."
"clube-livro-impl-ddd";"Implementando DDD";"Estudo do clássico de Eric Evans e técnicas para alinhar código ao domínio de negócio.";"Linguagem ubíqua | Bounded Contexts | Agregados e entidades | Patterns de DDD";"N/A";"N/A";"N/A";"Sessão de leitura, sem faixa salarial, mas essencial a quem mira arquitetura sofisticada."
"o-poder-do-habito";"O Poder do Hábito";"Leitura de Charles Duhigg, explorando formação e mudança de hábitos, valioso para produtividade pessoal.";"Ciclo do hábito | Gatilhos e recompensas | Hábitos individuais e organizacionais | Transformação de rotina";"N/A";"N/A";"N/A";"Livro de soft skills, não aplicado diretamente a salários do mercado de TI."
"clean-agile";"Clean Agile";"Explora metodologias ágeis, trazendo fundamentos de Scrum, XP e boas práticas de equipes eficientes.";"Manifesto Ágil | Papéis e rituais do Scrum | Princípios de XP | Integração e entrega contínua";"N/A";"N/A";"N/A";"Focado em métodos de trabalho, não ligado a uma faixa salarial específica."
"notion";"Notion";"Aprenda a organizar estudos e projetos com a ferramenta de produtividade Notion, criando workspaces e templates.";"Criação de páginas e bases | Templates para estudos | Integrando calendário e Kanban | Dicas de produtividade";"N/A";"N/A";"N/A";"Ferramenta transversal para devs e não devs, mas sem faixa salarial associada."
"metodo-para";"Método PARA";"Organize sua vida digital em Projetos, Áreas, Recursos e Arquivos, maximizando foco e eficiência.";"Definição do método | Aplicação em Notion/Outras ferramentas | Classificação e arquivamento | Fluxo de revisão";"N/A";"N/A";"N/A";"Curso de gestão pessoal, não há dados de remuneração."
"ddd-estrategico";"Ferramentas Estratégicas";"Aprenda a dividir o domínio em bounded contexts, identificar contextos centrais e criar mapas de contexto.";"Bounded Contexts | Context Maps | Subdomínios | Visão estratégica do domínio";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"Empresas complexas exigem DDD estratégico para organizar grandes domínios."
"ddd-tatico";"Ferramentas Táticas";"Implemente padrões de entidades, agregados, repositórios e fábricas para manter o domínio consistente.";"Entidades, Value Objects | Fábricas e Repositórios | Regras de negócio no domínio | Padrões de DDD tático";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"DDD tático é chave para sistemas de grande porte, garantindo consistência de dados."
"arquitetura-limpa-hexagonal";"Arquitetura Limpa e Hexagonal";"Entenda como separar domínio e infraestrutura usando Clean Architecture e Ports & Adapters.";"Conceitos de Camadas | Entidades e Use Cases | Adapters e Ports | Arquitetura Hexagonal";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"Empresas valorizam arquiteturas flexíveis e testáveis, baseadas em Clean/Hexagonal."
"modelagem-dominio";"Modelagem de Domínio";"Foque na parte central do software, aprendendo entidades, objetos de valor, eventos e design rico com testes.";"Criação de modelos ricos | Validações e invariantes | Testes de unidade no domínio | Patterns de DDD";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"Essencial para DDD, garante longevidade do código em projetos complexos."
"casos-de-uso";"Casos de Uso";"Veja como orquestrar regras de negócio em uma camada de aplicação clara, sem poluir o domínio com lógica extra.";"Aplicação x domínio | Entrada e saída de dados | Boundaries e DTOs | Testes de casos de uso";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"Aplicações grandes exigem organização de casos de uso para manter legibilidade."
"projeto-arq-limpa-ddd";"Projeto com Arq. Limpa & DDD";"Construa um projeto prático unindo Clean Architecture, DDD e testes, do zero ao deploy.";"Entidades e casos de uso | Adapters e repositórios | Configuração de testes | Integração e modularização";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"Experiência real em projeto complexo, supervalorizado em vagas sênior."
"projeto-jogo-da-velha-arquiteto";"Projeto Jogo da Velha";"Modelagem completa usando paradigma rico e aplicação hexagonal, integrando front-end e back-end.";"Lógica de jogo | Arquitetura hexagonal | Separação de camadas | Testes de domínio";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Mesmo simples, exercita padrões arquiteturais avançados para fins didáticos."
"projeto-ead-arquiteto";"Projeto EAD";"Desenvolva uma plataforma de ensino com foco em domain-driven e arquitetura limpa, do core à interface.";"Modelagem de cursos/alunos | Casos de uso e repositórios | Integração front-end | Boas práticas de testes";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"EAD continua em alta, projetar plataforma robusta é atrativo no currículo."
"mentorias-plataforma-ead";"Desenvolvimento da Plataforma EAD";"Aprofundamento em mentorias sobre o projeto EAD, tirando dúvidas de arquitetura, testes e integrações.";"Discussão de problemas reais | Revisão de código | Melhores práticas | Passo a passo de features";"N/A";"N/A";"N/A";"Mentoria pontual em projeto interno, sem faixa salarial por não ser curso individual."
"poupig-desconstrucao";"Poupig - Visão Geral do Projeto";"Visão macro do projeto de finanças pessoais, identificando camadas, objetivos e funcionalidades iniciais.";"Requisitos funcionais | Casos de uso gerais | Tecnologias escolhidas | Roadmap do projeto";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Fintechs em alta, domínio de finanças atrai muitas oportunidades."
"poupig-modelagem-dominio";"Poupig - Modelagem de Domínio";"Construa o núcleo de negócio do Poupig, usando entidades, objetos de valor e testes de consistência.";"Entidades Financeiras | Controle de lançamentos | Validação de invariantes | Testes unitários do domínio";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Forte valorização para quem domina modelagem de domínios complexos."
"poupig-casos-de-uso";"Poupig - Casos de Uso";"Implemente a lógica de aplicação, orquestrando o domínio para ações como criação de contas, depósitos e retiradas.";"Criação de contas | Lançamento de transações | Validações e regras de negócio | Integração com repositórios";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Aplicações financeiras exigem robustez, DDD e casos de uso bem definidos são essenciais."
"poupig-persistencia";"Poupig - Persistência";"Finalize o projeto integrando Firestore ou outro DB, garantindo salvamento de dados e segurança.";"Criação de coleções | Regras de segurança | Migração de dados | Testes de integração";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Integração DB confiável é requisito em sistemas de controle financeiro, muito valorizado."
"python-fundamentos";"Python";"Aprenda a linguagem mais versátil do mercado, usada em data science, web, automação e IA.";"Sintaxe Python | Estruturas de dados | Funções e Módulos | Boas práticas de código";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Python lidera em data science e automação, com forte demanda em diversas áreas."
"ia-openai";"OpenAI";"Explore ferramentas e modelos da OpenAI além do chat: embeddings, geração de imagens, GPT para automações e muito mais.";"Integração com APIs | Fine-tuning de modelos | Chat e prompts | Aplicações de IA em projetos reais";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"IA está em franca expansão, gerando oportunidades de alto valor no mercado global."
